,0
0,0.7173235631441061
1,0.9730780714060195
2,0.7508648109280656
3,19.761007072304427
4,12.929117848496842
5,18.623925704305496
6,0.4095723963539932
7,0.4149593753503318
8,0.41194563254001637
9,186095.62126066684
10,6.842179993581782
11,6.2524404813804555
12,10.357007698251923
13,0.08877476900773638
14,2.5868525239534783
15,2.6401773278823937
16,2.574188018771436
17,2.55069509441037
18,1e-17
19,186095.60839726572
20,78173.55398206195
21,65442.73498436253
22,42566.110882315385
23,91401.40193312718
24,59457.08138959199
25,94092.79146217254
26,245098.14591384563
27,0.4989168804724054
28,0.471121800185756
29,0.6003901701472404
30,0.49270289814534624
31,0.023560268811469765
32,2.4157031397435063
33,2.518666614011703
34,5.580907337330691
35,6.99382462916757
36,7.586384666442008
37,8.966250988772844
38,2.6234129472560936
39,2.241172613223694
40,5.5715187698949515
41,4.782799734068364
42,4.689536960875913
43,6.394460659743055
44,1.4687865118004322
45,1.4763974843442653
46,3.9104867457126615
47,1.7796238451464874
48,1.5108440229557625
49,4.74960961976229
50,17.842676773283024
51,2.688398587591019
52,1.8128757114248981
53,5.426082366558905
54,5.496977183207236
55,9.553923165696661
56,8.924975287535117
57,9.732217984748063
58,13.203082821616555
59,3.826471276795107
60,3.155939016628395
61,7.735361981841299
62,18.49426878194218
63,16.371831402216177
64,11.75018423902732
65,4.38813556722856
66,3.532673183296973
67,6.891307472195969
68,12.278356551966729
69,13.050313837044563
70,11.150146434383275
71,2.9888256745470385
72,2.6855912968701334
73,5.845588719985311
74,3.434942018413986
75,5.519461427471541
76,11.017082235247358
77,298.75891600411967
78,104.43268221700257
79,125.68284809767495
80,68.6448007727908
81,2.661320105773519
82,2.645904654588548
83,2.7598701282995712
84,2.658076054227463
85,1.639711344485852
86,1.5453997036895566
87,1.5615648764767203
